职位,公司名称,公司规模,要求学历,省份,所属市,所属区,月薪,最高月薪,最低月薪,工作经验
Python开发工程师,湖南匡安网络技术有限公司,50-150人,本科,湖南省,长沙,岳麓区,9千-1.5万·13薪,15000,9000,2年
Python工程师,无锡秉杰机械有限公司,50-150人,本科,江苏省,无锡,新吴区,1-1.5万,15000,10000,3-5年
go开发工程师（初级/中级）,北京锐玑精械智能电子科技有限公司,50-150人,大专,上海,上海,嘉定区,7千-1.3万·14薪,13000,7000,无需经验
Python开发工程师,上海帮伯信息科技有限公司,少于50人,本科,天津,天津,南开区,1.1-2万·13薪,20000,11000,2-7年
软件开发工程师（Python）,珠海市鸿瑞信息技术股份有限公司,150-500人,本科,广东省,珠海,珠海高新区,7千-1万,10000,7000,1年及以上
Python开发工程师,上海现代通用识别技术有限公司,50-150人,本科,上海,上海,闵行区,1.5-2万·13薪,20000,15000,无需经验
go开发工程师（初级/中级）,北京锐玑精械智能电子科技有限公司,50-150人,大专,北京,北京,海淀区,7千-1.3万·14薪,13000,7000,无需经验
Python 软件工程师,南京艾影科技有限公司,少于50人,本科,江苏省,南京,江宁区,8千-1.2万·15薪,12000,8000,1年及以上
软件开发工程师（python）,仁卅信息科技（上海）有限公司,500-1000人,本科,北京,北京,海淀区,1-1.5万,15000,10000,2-3年
python开发工程师,云南智讯达科技开发有限公司,少于50人,本科,云南省,昆明,西山区,8千-1.2万,12000,8000,2年及以上
go开发工程师（初级/中级）,北京锐玑精械智能电子科技有限公司,50-150人,大专,江苏省,南京,雨花台区,7千-1.3万·14薪,13000,7000,无需经验
Python开发工程师,大连隆基信息技术有限公司,150-500人,本科,辽宁省,大连,沙河口区,8千-1.2万·13薪,12000,8000,2年及以上
Python开发工程师,青岛启环国际贸易有限公司,50-150人,本科,山东省,青岛,黄岛区,8千-1万,10000,8000,3-4年
go开发工程师（初级/中级）,北京锐玑精械智能电子科技有限公司,50-150人,大专,湖北省,武汉,江汉区,7千-1.3万·14薪,13000,7000,无需经验
